date,session_key,y,x,z,meeting_key,driver_number
2024-04-07T05:26:33.682000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:34.021000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:34.202000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:34.462000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:34.762000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:34.982000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:35.181000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:35.461000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:35.682000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:35.902000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:36.102000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:36.502000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:36.921000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:37.061000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:37.321000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:37.501000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:37.661000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:37.981000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:38.141000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:38.501000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:38.681000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:38.841000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:39.121000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:39.342000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:39.602000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:39.781000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:40.061000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:40.381000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:40.681000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:40.941000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:41.181000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:41.481000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:41.761000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:42.462000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:42.821000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:43.042000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:43.401000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:43.581000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:43.861000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:43.920000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:44.161000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:44.381000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:44.701000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:44.861000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:45.081000+00:00,9496,-3383,3693,766,1232,1
